ID Topik,Nama Topik,Jumlah Dokumen,Kata Kunci Utama,Skor c-TF-IDF,Contoh Advisory
12,12_cvss_assigned_base score_v3 base,49,"cvss, assigned, base score, v3 base, pr ui, ac pr, cvss vector, pr","0.033, 0.027, 0.022, 0.022, 0.022, 0.022, 0.022, 0.022",ICSA-17-012-01; ICSA-17-033-01; ICSA-17-180-02
13,13_siemens_update_later version_version update,46,"siemens, update, later version, version update, later, devices, version, cisa","0.022, 0.020, 0.018, 0.017, 0.015, 0.015, 0.014, 0.012",ICSA-12-013-01; ICSA-16-040-02; ICSA-16-287-02
14,14_cisa_ics_gov ics_control,44,"cisa, ics, gov ics, control, exploitation, networks, systems, defense","0.020, 0.018, 0.015, 0.014, 0.014, 0.013, 0.013, 0.012",ICSA-23-215-02; ICSA-23-248-01; ICSA-23-262-03
15,15_melsec_iq_melsec iq_later melsec,44,"melsec, iq, melsec iq, later melsec, series, iq series, mitsubishi, mitsubishi electric","0.065, 0.047, 0.045, 0.038, 0.035, 0.028, 0.027, 0.027",ICSA-16-336-03; ICSA-20-245-01; ICSA-20-282-02
16,16_schneider_schneider electric_electric_ecostruxure,42,"schneider, schneider electric, electric, ecostruxure, network, pme, ecostruxure power, cybersecurity","0.024, 0.022, 0.019, 0.016, 0.014, 0.013, 0.013, 0.013",ICSA-23-108-02; ICSA-24-289-02; ICSA-24-326-05
17,17_codesys_control_use_network,41,"codesys, control, use, network, devices, access, automation, software","0.015, 0.014, 0.013, 0.011, 0.011, 0.010, 0.010, 0.010",ICSA-18-032-01; ICSA-18-032-02; ICSA-18-305-02
18,18_ccs_server_cve_siemens,39,"ccs, server, cve, siemens, tcp, cvss, access, port","0.029, 0.016, 0.013, 0.012, 0.011, 0.011, 0.010, 0.010",ICSA-17-059-01; ICSA-17-087-01; ICSA-17-152-02
19,19_later_gt_mitsubishi_mitsubishi electric,37,"later, gt, mitsubishi, mitsubishi electric, designer3, gt designer3, gx, melsoft","0.033, 0.030, 0.029, 0.028, 0.024, 0.024, 0.022, 0.021",ICSA-19-141-02; ICSA-19-311-01; ICSA-20-091-02
20,20_cisa_email_avoiding_social engineering,35,"cisa, email, avoiding, social engineering, social, engineering, attacks, control","0.020, 0.016, 0.016, 0.016, 0.016, 0.015, 0.015, 0.012",ICSA-11-353-01; ICSA-11-355-01; ICSA-11-355-02
21,21_cvss_advisories_assigned_string av,33,"cvss, advisories, assigned, string av, v3 base, base score, av ac, av","0.026, 0.019, 0.017, 0.017, 0.017, 0.017, 0.017, 0.017",ICSA-18-277-01; ICSA-19-036-03; ICSA-19-204-01
22,22_ics cert_cert_nccic_ics,33,"ics cert, cert, nccic, ics, cert web, recommended practices, csaf, recommended","0.042, 0.037, 0.027, 0.021, 0.019, 0.017, 0.015, 0.014",ICSA-17-012-02; ICSA-17-031-02; ICSA-17-075-01
23,23_later version_v3 later_trusted sources_update v3,32,"later version, v3 later, trusted sources, update v3, applications, run, sources, build","0.030, 0.028, 0.028, 0.027, 0.027, 0.026, 0.026, 0.025",ICSA-22-069-09; ICSA-22-258-05; ICSA-22-349-21
24,24_delta_delta electronics_electronics_cncsoft,31,"delta, delta electronics, electronics, cncsoft, cisa, diaenergie, ics, information","0.068, 0.047, 0.046, 0.017, 0.016, 0.015, 0.014, 0.011",ICSA-23-157-01; ICSA-23-180-01; ICSA-23-264-03
25,25_cisa_gov_recommended practices_exploitation vulnerability,30,"cisa, gov, recommended practices, exploitation vulnerability, csaf, vulnerability, recommended, practices","0.020, 0.016, 0.016, 0.014, 0.014, 0.014, 0.014, 0.013",ICSA-19-239-02; ICSA-19-339-01; ICSA-19-353-02
